Origin Time,Latitude,Longitude,Magnitude,Depth,Location
31-12-2022 15:23:23,48.323,23.278,2.4,10.0,Transcarpatia
31-12-2022 01:25:40,48.3744,23.2111,2.4,8.0,Transcarpatia
28-12-2022 21:49:18,48.351,23.254,2.0,10.0,Transcarpatia
28-12-2022 17:05:18,48.354,23.244,2.1,10.0,Transcarpatia
15-11-2022 14:31:15,47.4462,24.7246,1.8,5.0,Transcarpatia
14-11-2022 13:45:32,48.65,24.41,2.3,4.0,Transcarpatia
12-11-2022 16:28:37,47.868,23.108,1.6,10.0,Transcarpatia
25-10-2022 11:09:56,48.82,21.72,2.1,15.0,Transcarpatia
24-10-2022 05:20:00,48.187,22.188,2.0,10.0,Transcarpatia
30-09-2022 14:42:23,49.377,21.145,1.9,10.0,Transcarpatia
30-09-2022 10:32:37,48.47,24.46,2.0,2.2,Transcarpatia
07-09-2022 10:10:37,48.58,24.58,2.2,4.0,Transcarpatia
22-08-2022 19:25:01,47.989,23.764,2.0,10.0,Transcarpatia
04-08-2022 18:18:39,47.901,22.624,2.9,10.0,Transcarpatia
12-07-2022 23:43:56,49.104,21.524,1.5,10.0,Transcarpatia
27-06-2022 16:28:12,48.956,22.282,1.6,10.0,Transcarpatia
14-06-2022 05:20:30,48.122,21.955,1.4,10.0,Transcarpatia
20-05-2022 09:25:28,49.092,23.45,3.5,10.0,Lviv
19-05-2022 11:22:02,48.13,23.52,2.3,3.0,Transcarpatia
18-03-2022 19:50:11,49.09,24.03,2.5,6.0,Ivano-Frankivsk
23-12-2022 04:22:01,48.56,27.38,3.0,3.0,Chernivtsi
17-11-2022 22:00:46,48.5,27.35,2.7,4.0,Chernivtsi
14-11-2022 13:45:32,48.65,24.41,2.3,4.0,Ivano-Frankivsk
30-09-2022 10:32:37,48.47,24.46,2.2,2.0,Ivano-Frankivsk
07-09-2022 10:10:37,48.58,24.58,2.2,4.0,Ivano-Frankivsk
18-03-2022 19:50:11,49.09,24.03,2.5,6.0,Ivano-Frankivsk
29-12-2021 14:17:34,48.59,24.51,2.4,3.0,Ivano-Frankivsk
26-12-2021 21:45:21,48.52,27.35,2.40,4.0,Chernivtsi
21-12-2021 15:06:25,48.61,24.48,2.60,4.0,Ivano-Frankivsk
15-12-2021 14:21:29,48.51,24.49,2.5,5.0,Ivano-Frankivsk
19-11-2021 09:06:34,48.64,24.50,2.60,5.0,Ivano-Frankivsk
17-11-2021 12:41:55,48.29,25.42,3.4,0.0,Chernivtsi
29-10-2021 12:16:21,48.55,24.47,2.50,2.0,Ivano-Frankivsk
29-10-2021 12:16:21,48.55,24.47,2.50,2.0,Ivano-Frankivsk
02-11-2021 07:56:53,48.012,23.762,3.0,10.0,Transcarpatia
27-10-2021 01:44:57,48.11,22.94,3.10,7.0,Transcarpatia
19-10-2021 09:21:06,48.74,24.53,2.40,7.0,Ivano-Frankivsk
17-10-2021 23:20:26,48.15,22.60,2.50,5.0,Transcarpatia
12-10-2021 07:25:53,48.73,24.43,2.00,5.0,Ivano-Frankivsk
08-09-2021 13:32:26,48.46,22.79,2.10,2.0,Transcarpatia
17-06-2021 09:58:23,48.589,23.061,2.2,10.0,Transcarpatia
08-06-2021 13:32:42,48.55,24.48,2.4,4.0,Ivano-Frankivsk
23-05-2021 13:21:43,48.756,22.426,1.5,10.0,Transcarpatia
13-05-2021 10:34:33,48.31,22.84,1.40,3.0,Transcarpatia
11-05-2021 14:04:10,48.58,24.51,2.60,4.0,Ivano-Frankivsk
14-03-2021 16:23:31,48.55,27.34,2.10,4.0,Chernivtsi
14-03-2021 19:09:48,48.66,27.40,2.20,5.0,Chernivtsi
30-03-2021 10:16:53,48.56,24.48,2.50,3.0,Ivano-Frankivsk
23-02-2021 10:36:12,48.40,22.84,1.70,2.0,Transcarpatia
23-01-2021 03:18:16,48.143,23.243,2.2,10.0,Transcarpatia
10-01-2021 11:13:34,49.4835,22.9813,3.5,2.0,Lviv
02-01-2021 22:08:46,48.412,22.777,1.9,10.0,Transcarpatia
06-12-2020 02:18:51,48.227,156.497,1.9,10.0,Transcarpatia
14-11-2020 03:48:41,48.101,23.087,2.1,10.0,Transcarpatia
02-09-2020 12:32:15,48.549,22.914,2.4,10.0,Transcarpatia
01-06-2020 18:05:44,49.05,23.99,2.4,2.0,Ivano-Frankivsk
01-06-2020 04:22:49,49.06,23.97,3.2,2.0,Ivano-Frankivsk
27-04-2020 22:07:08,48.53,22.38,2.7,3.0,Transcarpatia
19-04-2020 05:45:59,48.57,22.38,3.1,5.0,Transcarpatia
23-01-2020 21:03:06,48.13,22.88,2.9,11.0,Transcarpatia
21-05-2023 15:14:37,48.474,22.774,2.5,10.0,Transcarpatia
21-05-2023 11:15:48,48.58,22.909,2.3,10.0,Transcarpatia
27-04-2023 10:34:53,48.5,24.51,2.2,3.0,Ivano-Frankivsk
25-04-2023 10:33:09,48.29,23.358,3.0,10.0,Transcarpatia
14-04-2023 01:54:51,48.316,23.184,3.1,10.0,Transcarpatia
05-04-2023 08:41:05,48.41,22.72,2.2,2.0,Transcarpatia
16-03-2023 10:14:41,48.59,24.44,2.5,2.0,Ivano-Frankivsk
27-02-2023 01:15:40,48.387,22.474,2.8,10.0,Transcarpatia
18-01-2023 07:00:11,48.329,23.282,2.8,10.0,Transcarpatia
03-01-2023 13:28:38,48.28,23.23,3.8,12.0,Transcarpatia
13-08-2019 11:14:23,48.54,24.44,2.4,3.0,Ivano-Frankivsk